,technology,location,value_scenario_,value_scenario_DemandMet,value_scenario_FastDiffusion,value_scenario_Recycling,value_scenario_SelfSuff40,value_scenario_Tariffs
284,Bauxite_transport,AUS-ROE,0.0,0.0,0.0,0.0,0.0,0.0
285,Bauxite_transport,AUS-ROW,0.0,0.0,0.0,0.0,0.0,0.0
286,Bauxite_transport,AUS-USA,0.0,0.0,0.0,0.0,0.0,0.0
287,Bauxite_transport,AUT-AUS,0.0,0.0,0.0,0.0,0.0,0.0
288,Bauxite_transport,AUT-BRA,0.0,0.0,0.0,0.0,0.0,0.0
289,Bauxite_transport,AUT-CHN,0.0,0.0,0.0,0.0,0.0,0.0
290,Bauxite_transport,AUT-CZE,0.0,0.0,0.0,0.0,0.0,0.0
291,Bauxite_transport,AUT-DEU,0.0,0.0,0.0,0.0,0.0,0.0
292,Bauxite_transport,AUT-ITA,0.0,0.0,0.0,0.0,0.0,0.0
293,Bauxite_transport,AUT-JPN,0.0,0.0,0.0,0.0,0.0,0.0
294,Bauxite_transport,AUT-KOR,0.0,0.0,0.0,0.0,0.0,0.0
295,Bauxite_transport,AUT-ROE,0.0,0.0,0.0,0.0,0.0,0.0
296,Bauxite_transport,AUT-ROW,0.0,0.0,0.0,0.0,0.0,0.0
297,Bauxite_transport,AUT-USA,0.0,0.0,0.0,0.0,0.0,0.0
298,Bauxite_transport,BRA-AUS,0.0,0.0,0.0,0.0,0.0,0.0
299,Bauxite_transport,BRA-AUT,0.0,0.0,0.0,0.0,0.0,0.0
300,Bauxite_transport,BRA-CHN,0.0,0.0,0.0,0.0,0.0,0.0
301,Bauxite_transport,BRA-CZE,0.0,0.0,0.0,0.0,0.0,0.0
302,Bauxite_transport,BRA-DEU,0.0,0.0,0.0,0.0,0.0,0.0
303,Bauxite_transport,BRA-ITA,0.0,0.0,0.0,0.0,0.0,0.0
304,Bauxite_transport,BRA-JPN,0.0,0.0,0.0,0.0,0.0,0.0
305,Bauxite_transport,BRA-KOR,0.0,0.0,0.0,0.0,0.0,0.0
306,Bauxite_transport,BRA-ROE,0.0,0.0,0.0,0.0,0.0,0.0
307,Bauxite_transport,BRA-ROW,0.0,0.0,0.0,0.0,0.0,0.0
308,Bauxite_transport,BRA-USA,0.0,0.0,0.0,0.0,0.0,0.0
309,Bauxite_transport,CHN-AUS,0.0,0.0,0.0,0.0,0.0,0.0
310,Bauxite_transport,CHN-AUT,0.0,0.0,0.0,0.0,0.0,0.0
311,Bauxite_transport,CHN-BRA,0.0,0.0,0.0,0.0,0.0,0.0
312,Bauxite_transport,CHN-CZE,0.0,0.0,0.0,0.0,0.0,0.0
313,Bauxite_transport,CHN-DEU,0.0,0.0,0.0,0.0,0.0,0.0
314,Bauxite_transport,CHN-ITA,0.0,0.0,0.0,0.0,0.0,0.0
315,Bauxite_transport,CHN-JPN,0.0,0.0,0.0,0.0,0.0,0.0
316,Bauxite_transport,CHN-KOR,0.0,0.0,0.0,0.0,0.0,0.0
317,Bauxite_transport,CHN-ROE,0.0,0.0,0.0,0.0,0.0,0.0
318,Bauxite_transport,CHN-ROW,0.0,0.0,0.0,0.0,0.0,0.0
319,Bauxite_transport,CHN-USA,0.0,0.0,0.0,0.0,0.0,0.0
320,Bauxite_transport,CZE-AUS,0.0,0.0,0.0,0.0,0.0,0.0
321,Bauxite_transport,CZE-AUT,0.0,0.0,0.0,0.0,0.0,0.0
322,Bauxite_transport,CZE-BRA,0.0,0.0,0.0,0.0,0.0,0.0
323,Bauxite_transport,CZE-CHN,0.0,0.0,0.0,0.0,0.0,0.0
324,Bauxite_transport,CZE-DEU,0.0,0.0,0.0,0.0,0.0,0.0
325,Bauxite_transport,CZE-ITA,0.0,0.0,0.0,0.0,0.0,0.0
326,Bauxite_transport,CZE-JPN,0.0,0.0,0.0,0.0,0.0,0.0
327,Bauxite_transport,CZE-KOR,0.0,0.0,0.0,0.0,0.0,0.0
328,Bauxite_transport,CZE-ROE,0.0,0.0,0.0,0.0,0.0,0.0
329,Bauxite_transport,CZE-ROW,0.0,0.0,0.0,0.0,0.0,0.0
330,Bauxite_transport,CZE-USA,0.0,0.0,0.0,0.0,0.0,0.0
331,Bauxite_transport,DEU-AUS,0.0,0.0,0.0,0.0,0.0,0.0
332,Bauxite_transport,DEU-AUT,0.0,0.0,0.0,0.0,0.0,0.0
333,Bauxite_transport,DEU-BRA,0.0,0.0,0.0,0.0,0.0,0.0
334,Bauxite_transport,DEU-CHN,0.0,0.0,0.0,0.0,0.0,0.0
335,Bauxite_transport,DEU-CZE,0.0,0.0,0.0,0.0,0.0,0.0
336,Bauxite_transport,DEU-ITA,0.0,0.0,0.0,0.0,0.0,0.0
337,Bauxite_transport,DEU-JPN,0.0,0.0,0.0,0.0,0.0,0.0
338,Bauxite_transport,DEU-KOR,0.0,0.0,0.0,0.0,0.0,0.0
339,Bauxite_transport,DEU-ROE,0.0,0.0,0.0,0.0,0.0,0.0
340,Bauxite_transport,DEU-ROW,0.0,0.0,0.0,0.0,0.0,0.0
341,Bauxite_transport,DEU-USA,0.0,0.0,0.0,0.0,0.0,0.0
342,Bauxite_transport,ITA-AUS,0.0,0.0,0.0,0.0,0.0,0.0
343,Bauxite_transport,ITA-AUT,0.0,0.0,0.0,0.0,0.0,0.0
344,Bauxite_transport,ITA-BRA,0.0,0.0,0.0,0.0,0.0,0.0
345,Bauxite_transport,ITA-CHN,0.0,0.0,0.0,0.0,0.0,0.0
346,Bauxite_transport,ITA-CZE,0.0,0.0,0.0,0.0,0.0,0.0
347,Bauxite_transport,ITA-DEU,0.0,0.0,0.0,0.0,0.0,0.0
348,Bauxite_transport,ITA-JPN,0.0,0.0,0.0,0.0,0.0,0.0
349,Bauxite_transport,ITA-KOR,0.0,0.0,0.0,0.0,0.0,0.0
350,Bauxite_transport,ITA-ROE,0.0,0.0,0.0,0.0,0.0,0.0
351,Bauxite_transport,ITA-ROW,0.0,0.0,0.0,0.0,0.0,0.0
352,Bauxite_transport,ITA-USA,0.0,0.0,0.0,0.0,0.0,0.0
353,Bauxite_transport,JPN-AUS,0.0,0.0,0.0,0.0,0.0,0.0
354,Bauxite_transport,JPN-AUT,0.0,0.0,0.0,0.0,0.0,0.0
355,Bauxite_transport,JPN-BRA,0.0,0.0,0.0,0.0,0.0,0.0
356,Bauxite_transport,JPN-CHN,0.0,0.0,0.0,0.0,0.0,0.0
357,Bauxite_transport,JPN-CZE,0.0,0.0,0.0,0.0,0.0,0.0
358,Bauxite_transport,JPN-DEU,0.0,0.0,0.0,0.0,0.0,0.0
359,Bauxite_transport,JPN-ITA,0.0,0.0,0.0,0.0,0.0,0.0
360,Bauxite_transport,JPN-KOR,0.0,0.0,0.0,0.0,0.0,0.0
361,Bauxite_transport,JPN-ROE,0.0,0.0,0.0,0.0,0.0,0.0
362,Bauxite_transport,JPN-ROW,0.0,0.0,0.0,0.0,0.0,0.0
363,Bauxite_transport,JPN-USA,0.0,0.0,0.0,0.0,0.0,0.0
364,Bauxite_transport,KOR-AUS,0.0,0.0,0.0,0.0,0.0,0.0
365,Bauxite_transport,KOR-AUT,0.0,0.0,0.0,0.0,0.0,0.0
366,Bauxite_transport,KOR-BRA,0.0,0.0,0.0,0.0,0.0,0.0
367,Bauxite_transport,KOR-CHN,0.0,0.0,0.0,0.0,0.0,0.0
368,Bauxite_transport,KOR-CZE,0.0,0.0,0.0,0.0,0.0,0.0
369,Bauxite_transport,KOR-DEU,0.0,0.0,0.0,0.0,0.0,0.0
370,Bauxite_transport,KOR-ITA,0.0,0.0,0.0,0.0,0.0,0.0
371,Bauxite_transport,KOR-JPN,0.0,0.0,0.0,0.0,0.0,0.0
372,Bauxite_transport,KOR-ROE,0.0,0.0,0.0,0.0,0.0,0.0
373,Bauxite_transport,KOR-ROW,0.0,0.0,0.0,0.0,0.0,0.0
374,Bauxite_transport,KOR-USA,0.0,0.0,0.0,0.0,0.0,0.0
375,Bauxite_transport,ROE-AUS,0.0,0.0,0.0,0.0,0.0,0.0
376,Bauxite_transport,ROE-AUT,0.0,0.0,0.0,0.0,0.0,0.0
377,Bauxite_transport,ROE-BRA,0.0,0.0,0.0,0.0,0.0,0.0
378,Bauxite_transport,ROE-CHN,0.0,0.0,0.0,0.0,0.0,0.0
379,Bauxite_transport,ROE-CZE,0.0,0.0,0.0,0.0,0.0,0.0
380,Bauxite_transport,ROE-DEU,0.0,0.0,0.0,0.0,0.0,0.0
381,Bauxite_transport,ROE-ITA,0.0,0.0,0.0,0.0,0.0,0.0
382,Bauxite_transport,ROE-JPN,0.0,0.0,0.0,0.0,0.0,0.0
383,Bauxite_transport,ROE-KOR,0.0,0.0,0.0,0.0,0.0,0.0
384,Bauxite_transport,ROE-ROW,0.0,0.0,0.0,0.0,0.0,0.0
385,Bauxite_transport,ROE-USA,0.0,0.0,0.0,0.0,0.0,0.0
386,Bauxite_transport,ROW-AUS,0.0,0.0,0.0,0.0,0.0,0.0
387,Bauxite_transport,ROW-AUT,0.0,0.0,0.0,0.0,0.0,0.0
388,Bauxite_transport,ROW-BRA,0.0,0.0,0.0,0.0,0.0,0.0
389,Bauxite_transport,ROW-CHN,0.0,0.0,0.0,0.0,0.0,0.0
390,Bauxite_transport,ROW-CZE,0.0,0.0,0.0,0.0,0.0,0.0
391,Bauxite_transport,ROW-DEU,0.0,0.0,0.0,0.0,0.0,0.0
392,Bauxite_transport,ROW-ITA,0.0,0.0,0.0,0.0,0.0,0.0
393,Bauxite_transport,ROW-JPN,0.0,0.0,0.0,0.0,0.0,0.0
394,Bauxite_transport,ROW-KOR,0.0,0.0,0.0,0.0,0.0,0.0
395,Bauxite_transport,ROW-ROE,0.0,0.0,0.0,0.0,0.0,0.0
396,Bauxite_transport,ROW-USA,0.0,0.0,0.0,0.0,0.0,0.0
397,Bauxite_transport,USA-AUS,0.0,0.0,0.0,0.0,0.0,0.0
398,Bauxite_transport,USA-AUT,0.0,0.0,0.0,0.0,0.0,0.0
399,Bauxite_transport,USA-BRA,0.0,0.0,0.0,0.0,0.0,0.0
400,Bauxite_transport,USA-CHN,0.0,0.0,0.0,0.0,0.0,0.0
401,Bauxite_transport,USA-CZE,0.0,0.0,0.0,0.0,0.0,0.0
402,Bauxite_transport,USA-DEU,0.0,0.0,0.0,0.0,0.0,0.0
403,Bauxite_transport,USA-ITA,0.0,0.0,0.0,0.0,0.0,0.0
404,Bauxite_transport,USA-JPN,0.0,0.0,0.0,0.0,0.0,0.0
405,Bauxite_transport,USA-KOR,0.0,0.0,0.0,0.0,0.0,0.0
406,Bauxite_transport,USA-ROE,0.0,0.0,0.0,0.0,0.0,0.0
407,Bauxite_transport,USA-ROW,0.0,0.0,0.0,0.0,0.0,0.0
408,Compressor_transport,AUS-AUT,0.0,0.0,0.0,0.0,0.0,0.0
409,Compressor_transport,AUS-BRA,0.0,0.0,0.0,0.0,0.0,0.0
410,Compressor_transport,AUS-CHN,0.0,0.0,0.0,0.0,0.0,0.0
411,Compressor_transport,AUS-CZE,0.0,0.0,0.0,0.0,0.0,0.0
412,Compressor_transport,AUS-DEU,0.0,0.0,0.0,0.0,0.0,0.0
413,Compressor_transport,AUS-ITA,0.0,0.0,0.0,0.0,0.0,0.0
414,Compressor_transport,AUS-JPN,0.0,0.0,0.0,0.0,0.0,0.0
415,Compressor_transport,AUS-KOR,0.0,0.0,0.0,0.0,0.0,0.0
416,Compressor_transport,AUS-ROE,0.0,0.0,0.0,0.0,0.0,0.0
417,Compressor_transport,AUS-ROW,0.0,0.0,0.0,0.0,0.0,0.0
418,Compressor_transport,AUS-USA,0.0,0.0,0.0,0.0,0.0,0.0
419,Compressor_transport,AUT-AUS,0.0,0.0,0.0,0.0,0.0,0.0
420,Compressor_transport,AUT-BRA,0.0,0.0,0.0,0.0,0.0,0.0
421,Compressor_transport,AUT-CHN,0.0,0.0,0.0,0.0,0.0,0.0
422,Compressor_transport,AUT-CZE,0.0,0.0,0.0,0.0,0.0,0.0
423,Compressor_transport,AUT-DEU,0.0,0.0,0.0,0.0,0.0,0.0
424,Compressor_transport,AUT-ITA,0.0,0.0,0.0,0.0,0.0,0.0
425,Compressor_transport,AUT-JPN,0.0,0.0,0.0,0.0,0.0,0.0
426,Compressor_transport,AUT-KOR,0.0,0.0,0.0,0.0,0.0,0.0
427,Compressor_transport,AUT-ROE,0.0,0.0,0.0,0.0,0.0,0.0
428,Compressor_transport,AUT-ROW,0.0,0.0,0.0,0.0,0.0,0.0
429,Compressor_transport,AUT-USA,0.0,0.0,0.0,0.0,0.0,0.0
430,Compressor_transport,BRA-AUS,0.0,0.0,0.0,0.0,0.0,0.0
431,Compressor_transport,BRA-AUT,0.0,0.0,0.0,0.0,0.0,0.0
432,Compressor_transport,BRA-CHN,0.0,0.0,0.0,0.0,0.0,0.0
433,Compressor_transport,BRA-CZE,0.0,0.0,0.0,0.0,0.0,0.0
434,Compressor_transport,BRA-DEU,0.0,0.0,0.0,0.0,0.0,0.0
435,Compressor_transport,BRA-ITA,0.0,0.0,0.0,0.0,0.0,0.0
436,Compressor_transport,BRA-JPN,0.0,0.0,0.0,0.0,0.0,0.0
437,Compressor_transport,BRA-KOR,0.0,0.0,0.0,0.0,0.0,0.0
438,Compressor_transport,BRA-ROE,0.0,0.0,0.0,0.0,0.0,0.0
439,Compressor_transport,BRA-ROW,0.0,0.0,0.0,0.0,0.0,0.0
440,Compressor_transport,BRA-USA,0.0,0.0,0.0,0.0,0.0,0.0
441,Compressor_transport,CHN-AUS,0.0,0.0,0.0,0.0,0.0,0.0
442,Compressor_transport,CHN-AUT,0.0,0.0,0.0,0.0,0.0,0.0
443,Compressor_transport,CHN-BRA,0.0,0.0,0.0,0.0,0.0,0.0
444,Compressor_transport,CHN-CZE,0.0,0.0,0.0,0.0,0.0,0.0
445,Compressor_transport,CHN-DEU,0.0,0.0,0.0,0.0,0.0,0.0
446,Compressor_transport,CHN-ITA,0.0,0.0,0.0,0.0,0.0,0.0
447,Compressor_transport,CHN-JPN,0.0,0.0,0.0,0.0,0.0,0.0
448,Compressor_transport,CHN-KOR,0.0,0.0,0.0,0.0,0.0,0.0
449,Compressor_transport,CHN-ROE,0.0,0.0,0.0,0.0,0.0,0.0
450,Compressor_transport,CHN-ROW,0.0,0.0,0.0,0.0,0.0,0.0
451,Compressor_transport,CHN-USA,0.0,0.0,0.0,0.0,0.0,0.0
452,Compressor_transport,CZE-AUS,0.0,0.0,0.0,0.0,0.0,0.0
453,Compressor_transport,CZE-AUT,0.0,0.0,0.0,0.0,0.0,0.0
454,Compressor_transport,CZE-BRA,0.0,0.0,0.0,0.0,0.0,0.0
455,Compressor_transport,CZE-CHN,0.0,0.0,0.0,0.0,0.0,0.0
456,Compressor_transport,CZE-DEU,0.0,0.0,0.0,0.0,0.0,0.0
457,Compressor_transport,CZE-ITA,0.0,0.0,0.0,0.0,0.0,0.0
458,Compressor_transport,CZE-JPN,0.0,0.0,0.0,0.0,0.0,0.0
459,Compressor_transport,CZE-KOR,0.0,0.0,0.0,0.0,0.0,0.0
460,Compressor_transport,CZE-ROE,0.0,0.0,0.0,0.0,0.0,0.0
461,Compressor_transport,CZE-ROW,0.0,0.0,0.0,0.0,0.0,0.0
462,Compressor_transport,CZE-USA,0.0,0.0,0.0,0.0,0.0,0.0
463,Compressor_transport,DEU-AUS,0.0,0.0,0.0,0.0,0.0,0.0
464,Compressor_transport,DEU-AUT,0.0,0.0,0.0,0.0,0.0,0.0
465,Compressor_transport,DEU-BRA,0.0,0.0,0.0,0.0,0.0,0.0
466,Compressor_transport,DEU-CHN,0.0,0.0,0.0,0.0,0.0,0.0
467,Compressor_transport,DEU-CZE,0.0,0.0,0.0,0.0,0.0,0.0
468,Compressor_transport,DEU-ITA,0.0,0.0,0.0,0.0,0.0,0.0
469,Compressor_transport,DEU-JPN,0.0,0.0,0.0,0.0,0.0,0.0
470,Compressor_transport,DEU-KOR,0.0,0.0,0.0,0.0,0.0,0.0
471,Compressor_transport,DEU-ROE,0.0,0.0,0.0,0.0,0.0,0.0
472,Compressor_transport,DEU-ROW,0.0,0.0,0.0,0.0,0.0,0.0
473,Compressor_transport,DEU-USA,0.0,0.0,0.0,0.0,0.0,0.0
474,Compressor_transport,ITA-AUS,0.0,0.0,0.0,0.0,0.0,0.0
475,Compressor_transport,ITA-AUT,0.0,0.0,0.0,0.0,0.0,0.0
476,Compressor_transport,ITA-BRA,0.0,0.0,0.0,0.0,0.0,0.0
477,Compressor_transport,ITA-CHN,0.0,0.0,0.0,0.0,0.0,0.0
478,Compressor_transport,ITA-CZE,0.0,0.0,0.0,0.0,0.0,0.0
479,Compressor_transport,ITA-DEU,0.0,0.0,0.0,0.0,0.0,0.0
480,Compressor_transport,ITA-JPN,0.0,0.0,0.0,0.0,0.0,0.0
481,Compressor_transport,ITA-KOR,0.0,0.0,0.0,0.0,0.0,0.0
482,Compressor_transport,ITA-ROE,0.0,0.0,0.0,0.0,0.0,0.0
483,Compressor_transport,ITA-ROW,0.0,0.0,0.0,0.0,0.0,0.0
484,Compressor_transport,ITA-USA,0.0,0.0,0.0,0.0,0.0,0.0
485,Compressor_transport,JPN-AUS,0.0,0.0,0.0,0.0,0.0,0.0
486,Compressor_transport,JPN-AUT,0.0,0.0,0.0,0.0,0.0,0.0
487,Compressor_transport,JPN-BRA,0.0,0.0,0.0,0.0,0.0,0.0
488,Compressor_transport,JPN-CHN,0.0,0.0,0.0,0.0,0.0,0.0
489,Compressor_transport,JPN-CZE,0.0,0.0,0.0,0.0,0.0,0.0
490,Compressor_transport,JPN-DEU,0.0,0.0,0.0,0.0,0.0,0.0
491,Compressor_transport,JPN-ITA,0.0,0.0,0.0,0.0,0.0,0.0
492,Compressor_transport,JPN-KOR,0.0,0.0,0.0,0.0,0.0,0.0
493,Compressor_transport,JPN-ROE,0.0,0.0,0.0,0.0,0.0,0.0
494,Compressor_transport,JPN-ROW,0.0,0.0,0.0,0.0,0.0,0.0
495,Compressor_transport,JPN-USA,0.0,0.0,0.0,0.0,0.0,0.0
496,Compressor_transport,KOR-AUS,0.0,0.0,0.0,0.0,0.0,0.0
497,Compressor_transport,KOR-AUT,0.0,0.0,0.0,0.0,0.0,0.0
498,Compressor_transport,KOR-BRA,0.0,0.0,0.0,0.0,0.0,0.0
499,Compressor_transport,KOR-CHN,0.0,0.0,0.0,0.0,0.0,0.0
500,Compressor_transport,KOR-CZE,0.0,0.0,0.0,0.0,0.0,0.0
501,Compressor_transport,KOR-DEU,0.0,0.0,0.0,0.0,0.0,0.0
502,Compressor_transport,KOR-ITA,0.0,0.0,0.0,0.0,0.0,0.0
503,Compressor_transport,KOR-JPN,0.0,0.0,0.0,0.0,0.0,0.0
504,Compressor_transport,KOR-ROE,0.0,0.0,0.0,0.0,0.0,0.0
505,Compressor_transport,KOR-ROW,0.0,0.0,0.0,0.0,0.0,0.0
506,Compressor_transport,KOR-USA,0.0,0.0,0.0,0.0,0.0,0.0
507,Compressor_transport,ROE-AUS,0.0,0.0,0.0,0.0,0.0,0.0
508,Compressor_transport,ROE-AUT,0.0,0.0,0.0,0.0,0.0,0.0
509,Compressor_transport,ROE-BRA,0.0,0.0,0.0,0.0,0.0,0.0
510,Compressor_transport,ROE-CHN,0.0,0.0,0.0,0.0,0.0,0.0
511,Compressor_transport,ROE-CZE,0.0,0.0,0.0,0.0,0.0,0.0
512,Compressor_transport,ROE-DEU,0.0,0.0,0.0,0.0,0.0,0.0
513,Compressor_transport,ROE-ITA,0.0,0.0,0.0,0.0,0.0,0.0
514,Compressor_transport,ROE-JPN,0.0,0.0,0.0,0.0,0.0,0.0
515,Compressor_transport,ROE-KOR,0.0,0.0,0.0,0.0,0.0,0.0
516,Compressor_transport,ROE-ROW,0.0,0.0,0.0,0.0,0.0,0.0
517,Compressor_transport,ROE-USA,0.0,0.0,0.0,0.0,0.0,0.0
518,Compressor_transport,ROW-AUS,0.0,0.0,0.0,0.0,0.0,0.0
519,Compressor_transport,ROW-AUT,0.0,0.0,0.0,0.0,0.0,0.0
520,Compressor_transport,ROW-BRA,0.0,0.0,0.0,0.0,0.0,0.0
521,Compressor_transport,ROW-CHN,0.0,0.0,0.0,0.0,0.0,0.0
522,Compressor_transport,ROW-CZE,0.0,0.0,0.0,0.0,0.0,0.0
523,Compressor_transport,ROW-DEU,0.0,0.0,0.0,0.0,0.0,0.0
524,Compressor_transport,ROW-ITA,0.0,0.0,0.0,0.0,0.0,0.0
525,Compressor_transport,ROW-JPN,0.0,0.0,0.0,0.0,0.0,0.0
526,Compressor_transport,ROW-KOR,0.0,0.0,0.0,0.0,0.0,0.0
527,Compressor_transport,ROW-ROE,0.0,0.0,0.0,0.0,0.0,0.0
528,Compressor_transport,ROW-USA,0.0,0.0,0.0,0.0,0.0,0.0
529,Compressor_transport,USA-AUS,0.0,0.0,0.0,0.0,0.0,0.0
530,Compressor_transport,USA-AUT,0.0,0.0,0.0,0.0,0.0,0.0
531,Compressor_transport,USA-BRA,0.0,0.0,0.0,0.0,0.0,0.0
532,Compressor_transport,USA-CHN,0.0,0.0,0.0,0.0,0.0,0.0
533,Compressor_transport,USA-CZE,0.0,0.0,0.0,0.0,0.0,0.0
534,Compressor_transport,USA-DEU,0.0,0.0,0.0,0.0,0.0,0.0
535,Compressor_transport,USA-ITA,0.0,0.0,0.0,0.0,0.0,0.0
536,Compressor_transport,USA-JPN,0.0,0.0,0.0,0.0,0.0,0.0
537,Compressor_transport,USA-KOR,0.0,0.0,0.0,0.0,0.0,0.0
538,Compressor_transport,USA-ROE,0.0,0.0,0.0,0.0,0.0,0.0
539,Compressor_transport,USA-ROW,0.0,0.0,0.0,0.0,0.0,0.0
540,Copper_ore_transport,AUS-AUT,0.0,0.0,0.0,0.0,0.0,0.0
541,Copper_ore_transport,AUS-BRA,0.0,0.0,0.0,0.0,0.0,0.0
542,Copper_ore_transport,AUS-CHN,0.0,0.0,0.0,0.0,0.0,0.0
543,Copper_ore_transport,AUS-CZE,0.0,0.0,0.0,0.0,0.0,0.0
544,Copper_ore_transport,AUS-DEU,0.0,0.0,0.0,0.0,0.0,0.0
545,Copper_ore_transport,AUS-ITA,0.0,0.0,0.0,0.0,0.0,0.0
546,Copper_ore_transport,AUS-JPN,0.0,0.0,0.0,0.0,0.0,0.0
547,Copper_ore_transport,AUS-KOR,0.0,0.0,0.0,0.0,0.0,0.0
548,Copper_ore_transport,AUS-ROE,0.0,0.0,0.0,0.0,0.0,0.0
549,Copper_ore_transport,AUS-ROW,0.0,0.0,0.0,0.0,0.0,0.0
550,Copper_ore_transport,AUS-USA,0.0,0.0,0.0,0.0,0.0,0.0
551,Copper_ore_transport,AUT-AUS,0.0,0.0,0.0,0.0,0.0,0.0
552,Copper_ore_transport,AUT-BRA,0.0,0.0,0.0,0.0,0.0,0.0
553,Copper_ore_transport,AUT-CHN,0.0,0.0,0.0,0.0,0.0,0.0
554,Copper_ore_transport,AUT-CZE,0.0,0.0,0.0,0.0,0.0,0.0
555,Copper_ore_transport,AUT-DEU,0.0,0.0,0.0,0.0,0.0,0.0
